country,netexports,gdp,pop,gascon,diecon,gasprice,dieprice
Afghanistan,-36.25321,456.9615678,34385068.0,,,4.845328043850219,4.58034916645216
Albania,-13.750789999999999,3700.7384109999994,3204284.0,11.698725658826252,52.267526856,6.85159668700695,6.77588843632179
Algeria,1545.1315,4566.891032,35468208.0,22.472374578264034,53.44856957937202,1.097769634934815,0.6435201308238572
American Samoa,-2.00315,,68420.0,,,,
Angola,1890.1157600000001,4237.347642,19081912.0,19.794635843645676,14.678089220753586,2.3848098965825293,1.5898732643883529
Antigua and Barbuda,-4.55068,13006.30092,88710.0,,,3.7475584089154035,3.633996032887664
Argentina,108.86387999999998,9124.335133,40412376.0,35.9715524406525,51.90081336250512,5.526702300016655,5.034598670563118
Armenia,-46.52126,3030.7106269999995,3092072.0,19.41778806636798,,4.731765667822479,4.3532244143966805
Aruba,-1.2637500000000026,,107488.0,,,,
Australia,-395.08164,51628.59957,22065300.0,188.01289472022,125.95066066480545,5.261723422618596,5.943097678785034
Austria,-248.73896,44916.36084,8389771.0,61.341226928444605,178.7418684718976,6.85159668700695,6.85159668700695
Azerbaijan,960.4779,5843.169752999999,9054332.0,36.10326761399848,16.445483431070308,2.876913526036067,2.15768514452705
"Bahamas, The",-22.833039999999997,22664.85649,342877.0,,,,
Bahrain,-1.5911200000000179,18184.19751,1261835.0,171.44786966993172,106.45366663748804,1.0220613842496555,0.6435201308238572
Bangladesh,-104.82522999999999,674.9316307,148692131.0,0.8332286068995448,3.0523044428730373,4.3532244143966805,2.876913526036067
Barbados,-7.971439999999999,15034.88444,273331.0,,,4.731765667822479,4.3153702890541
Belarus,-113.82872999999998,5817.897746,9490000.0,15.33157656462595,49.39044872609556,3.3311630301470254,3.406871280832185
Belgium,-579.9649000000001,43006.91365,10895586.0,35.30864900127465,176.2460467012082,7.911512196599184,7.495116817830807
Belize,0.8516699999999999,4057.151146,344700.0,,,5.450994049331496,4.58034916645216
Benin,-34.84499,741.0730348,8849892.0,20.999330360950683,13.595946947030717,4.693911542479899,4.769619793165059
Bermuda,-4.53796,89739.30912,64237.0,,,,
Bhutan,-1.99819,2183.442333,725940.0,,,4.504640915767,3.2554547794618656
Bolivia,-7.78143,1978.854327,9929849.0,23.610287099986344,30.451476823686004,2.649788773980588,2.044122768499311
Bosnia and Herzegovina,-28.01414,4427.347194,3760149.0,22.05073161284218,59.36238146509897,6.018805929470194,6.132368305497933
Botswana,-19.357229999999998,7426.628358,2006945.0,57.6173743477997,39.304198769085325,4.656057417137319,4.731765667822479
Brazil,-23.52496999999994,10992.94249,194946470.0,27.44516449168285,46.38448178935836,5.261723422618596,3.861120784943143
Brunei,144.72567999999998,31007.993729999995,398920.0,187.14128299100906,99.5850913412082,1.6277273897309328,0.9842072589070756
Bulgaria,-101.06994,6334.682132,7534289.0,24.497479796662365,54.09318918173379,6.397347182895992,6.359493057553411
Burkina Faso,-11.65636,559.198999,16468714.0,,,5.413139923988916,4.845328043850219
Burma (Myanmar),-4.85523,,47963012.0,2.7420883490977994,0.6435505169317407,3.9368290356283024,3.028330027406387
Burundi,-1.42918,241.7868565,8382849.0,,,5.5645564253592354,5.5645564253592354
Cambodia,-26.25466,795.166471,14138255.0,3.5501673640485585,9.09666160980546,5.110306921248277,4.807473918507639
Cameroon,28.81387,1144.249782,19598889.0,5.543476405966616,7.116291097378156,4.1639537876837815,3.823266659600563
Canada,1493.23472,46211.53386,34126547.0,286.33967923965855,140.51192340559726,4.996744545220538,4.656057417137319
Cape Verde,-2.64622,3344.8722100000005,495999.0,,,8.706448828793361,5.9809518041276135
Cayman Islands,-3.75386,,56230.0,,,,
Central African Republic,-2.31756,451.2594423,4401051.0,,,6.473055433581151,6.397347182895992
Chad,123.97425000000001,760.7122667000001,11227208.0,,,3.596141907545084,4.39107853973926
Chile,-310.85003,12639.52426,17113688.0,51.10344195003793,56.296381179460745,5.905243553442454,4.693911542479899
China,-5041.13255,4433.36122,1337705000.0,15.899054379267831,15.671209438214333,5.1860151719334375,4.845328043850219
Colombia,526.45754,6186.024868,46294841.0,19.117718648692716,23.175387670939248,4.845328043850219,4.46678679042442
Comoros,-0.87707,739.5078761,734750.0,,,,
Costa Rica,-48.42914999999999,7773.858272,4658887.0,47.59494139259483,45.08898909292832,5.943097678785034,5.148161046590857
Croatia,-56.909259999999996,13461.39641,4418000.0,45.803774878103184,75.23489848513312,6.70018018563663,6.435201308238571
Cuba,-114.89894000000001,,11257979.0,7.477785277712443,3.604900204348805,5.299577547961176,4.921036294535378
Cyprus,-58.30942,28779.185550000002,1103647.0,112.2592071430349,85.1983231258157,6.70018018563663,6.73803431097921
Czech Republic,-172.12028999999998,18910.00501,10519792.0,53.390336525629735,92.28980538507167,7.305846191117907,7.078721439062429
Denmark,80.43568999999998,56485.89444,5547683.0,84.2342253474355,134.20275354471673,7.646533319201126,7.154429689747587
Djibouti,-8.0696,,888716.0,,,6.624471934951471,4.46678679042442
Dominica,-0.91586,6963.872346,67757.0,,,,
Dominican Republic,-112.74874000000001,5195.381237,9927320.0,26.816342755787556,14.423512684337885,5.9809518041276135,5.110306921248277
Ecuador,266.76626,4008.237964,14464739.0,49.4809627083915,47.7168613556041,2.19553926986963,1.097769634934815
Egypt,-37.93729000000002,2698.3650740000003,81121077.0,20.18358262772458,20.78660866161092,1.7034356404160924,0.681374256166437
El Salvador,-42.75184,3460.023288,6192993.0,22.057455772826252,17.675166804954266,4.769619793165059,4.42893266508184
Equatorial Guinea,316.87858000000006,20703.10031,700401.0,,,,
Eritrea,-3.15956,402.9574968,5253676.0,0.48374250770341426,1.9584142073836177,9.425677210302378,6.473055433581151
Estonia,-15.049290000000001,14062.23424,1340161.0,65.18734140217754,95.11373133623891,6.662326060294051,6.662326060294051
Ethiopia,-42.50205,320.37867259999996,82949541.0,0.582126206958877,2.391172015870102,3.9746831609708826,3.558287782202504
Fiji,-9.356850000000001,3687.215765,860623.0,,,5.337431673303756,4.883182169192798
Finland,-184.04696,43863.96693000001,5363352.0,88.43232788635811,126.45231179399318,7.873658071256605,7.381554441803067
France,-1668.4360700000002,39170.2647,65075569.0,35.875488555735956,135.84866144416384,7.230137940432748,6.73803431097921
French Polynesia,-7.19047,,270764.0,,,6.435201308238571,5.905243553442454
Gabon,228.34733,8767.825851,1505463.0,12.027969552448406,25.249157472329692,3.9368290356283024,3.444725406174765
"Gambia, The",-3.39282,550.6879805,1728394.0,,,,
Georgia,-20.130969999999998,2613.689508,4452800.0,24.970222142676025,19.25543800057611,5.072452795905698,5.1860151719334375
Germany,-2243.71221,40163.8174,81776930.0,70.93061683545524,96.13067066790443,7.419408567145647,7.116575564405008
Ghana,-59.32403000000001,1319.0830270000001,24391823.0,8.843273667479515,10.428241567655972,3.4825795315173447,3.596141907545084
Greece,-338.48857,25832.21209,11315508.0,103.31450833727617,67.76601582215018,7.7979498205714455,7.873658071256605
Greenland,-4.24435,,56905.0,,,,
Grenada,-2.00411,7499.517635,104487.0,,,5.299577547961176,4.050391411656042
Guam,-6.57882,,179896.0,,,,
Guatemala,-55.510639999999995,2873.077445,14388929.0,20.75328903506373,17.06200364487099,4.3153702890541,3.9368290356283024
Guinea,-9.08902,474.4691453,9981590.0,,,5.072452795905698,5.072452795905698
Guinea-Bissau,-2.66142,551.3316137,1515224.0,,,,
Guyana,-10.77719,2994.445312,754493.0,,,4.088245536998622,3.9746831609708826
Haiti,-14.11079,663.9062502,9993247.0,3.8782942785288315,6.234694931647099,4.731765667822479,3.8989749102857227
Honduras,-46.37079,2018.750027,7600524.0,19.8953218239393,17.710984729382936,4.731765667822479,4.3532244143966805
Hong Kong,-382.09929,32374.48028,7067800.0,16.40575280288012,56.93557871685324,8.176491073997244,5.943097678785034
Hungary,-115.61876,12863.13383,10000023.0,40.91687100232169,69.22109675237543,6.965159063034689,7.230137940432748
Iceland,-12.74291,39522.04942,318041.0,147.8312181901669,102.44412967443685,7.532970943173386,7.7979498205714455
India,-2404.8575,1397.100108,1224614327.0,3.6815594426790588,7.776964083584983,4.731765667822479,3.2554547794618656
Indonesia,-423.1236300000001,2951.699149,239870937.0,25.0213560898437,15.315317344821159,1.779143891101252,1.779143891101252
Iran,2512.0348,,73973630.0,74.41475550176783,64.31292998731058,1.2491861363051344,0.4693911542479899
Iraq,1745.18282,2532.3236710000006,32030823.0,51.88050241955994,38.37661641938567,2.952621776721227,2.119831019184471
Ireland,-161.471,45873.18513,4474356.0,101.81368733641122,142.2508983119727,7.646533319201126,7.495116817830807
Israel,-233.32224000000002,28522.40858,7623600.0,105.0510251620258,49.11074592265529,7.608679193858546,8.025074572626925
Italy,-1350.7609200000002,33786.64289,60483385.0,50.83198619174507,105.43558518367918,8.6307405781082,8.252199324682405
Jamaica,-55.858630000000005,4966.207956,2701200.0,54.09892572614567,20.20886684703481,4.5424950411095795,4.504640915767
Japan,-4432.9884,43063.13637,127450459.0,106.63184581858117,50.7041728494744,7.570825068515966,6.094514180155353
Jordan,-103.92333999999998,4369.998242,6047000.0,56.002161107776935,29.208808576784982,5.450994049331496,3.6718501582302436
Kazakhstan,1400.12888,9070.009729,16323287.0,66.94811858807283,11.818476405402732,3.823266659600563,2.536226397952849
Kenya,-81.93814,794.7672094,40512682.0,4.328482173632777,6.652517625107167,5.1860151719334375,4.769619793165059
Kiribati,-0.42024,1422.6184510000003,99546.0,,,,
"Korea, North",-12.3266,,24346229.0,1.591899618347572,1.8782509457030716,,4.958890419877958
"Korea, South",-2221.24182,20540.176929999998,49410000.0,51.962680109446126,80.96857042619114,6.81374256166437,6.1702224308405125
Kuwait,2051.09655,45436.79018,2736732.0,292.520172649355,128.9733627690307,0.8706448828793362,0.7570825068515967
Kyrgyzstan,-32.60939,880.0385141,5447900.0,16.327378278187403,29.378135944061434,3.369017155489605,2.9904759020638068
Laos,-3.15988,1158.129965,6200894.0,,,5.034598670563118,4.46678679042442
Latvia,-29.78729,10723.35626,2239008.0,39.72738112123672,91.77799828011604,6.81374256166437,6.70018018563663
Lebanon,-120.37085,8781.437329,4227597.0,119.85458623770106,1.8929092194333108,4.201807913026362,3.558287782202504
Lesotho,-3.7110700000000003,1003.699581,2171318.0,,,4.693911542479899,4.958890419877958
Liberia,-3.65011,323.6497223,3994122.0,,,4.42893266508184,4.61820329179474
Libya,1496.79631,,6355112.0,60.535270154802724,118.3662836795017,0.454249504110958,0.37854125342579836
Lithuania,-49.043320000000016,11046.051849999998,3286820.0,26.77265235746889,80.34546831698293,6.927304937692109,6.435201308238571
Luxembourg,-56.73257,103574.1713,506953.0,219.3248785467678,977.5674487696245,6.208076556183092,6.208076556183092
Madagascar,-11.751410000000002,426.6254227,20713819.0,,,5.640264676044395,4.61820329179474
Malawi,-6.05932,362.3028381,14900841.0,,,7.305846191117907,7.192283815090168
Malaysia,85.95063999999996,8690.570239,28401017.0,100.94873227007587,46.54180064057338,2.3469557712399496,2.23339339521221
Maldives,-6.94007,6570.429112,315885.0,,,4.1639537876837815,4.126099662341202
Mali,-4.69814,613.044529,15369809.0,,,5.337431673303756,4.731765667822479
Malta,-46.72211,19624.85381,415995.0,55.747102569104705,68.01620867817066,7.267992065775328,6.624471934951471
Mauritania,-5.468420000000001,1065.03555,3459773.0,,,5.413139923988916,4.807473918507639
Mauritius,-20.62429,7577.106246,1280924.0,,,6.245930681525672,5.223869297276017
Mexico,1042.0224600000001,9127.541274,113423047.0,93.88931322365704,36.935054440464164,3.2554547794618656,3.2176006541192854
Moldova,-15.956659999999998,1631.923845,3562062.0,6.153683661128984,19.97851522371945,5.375285798646336,5.299577547961176
Mongolia,-11.675530000000002,2249.7659,2756001.0,32.8513362826176,11.821996234818428,4.883182169192798,4.61820329179474
Montenegro,-2.93058,6509.717447,631490.0,28.67450494264036,,6.88945081234953,6.624471934951471
Morocco,-245.05257999999998,2795.490228,31951412.0,5.458456324431714,25.02781816502389,5.375285798646336,3.633996032887664
Mozambique,-15.189400000000001,393.7185972,23390765.0,2.1051101392889224,4.606406502662116,5.9809518041276135,4.656057417137319
Namibia,-20.81362,4853.65759,2283289.0,41.60043334748861,28.789378381133105,4.693911542479899,4.958890419877958
Nepal,-21.957840000000004,534.5219887,29959364.0,1.4102840753954475,4.0638937574075085,5.450994049331496,4.126099662341202
Netherlands,-958.17204,46622.90252,16615394.0,75.808883101783,111.42833359438907,8.820011204821101,7.381554441803067
New Caledonia,-14.54925,,249992.0,,,,
New Zealand,-91.2157,32407.070710000004,4367800.0,168.01064014389226,112.67712034868941,6.70018018563663,4.693911542479899
Nicaragua,-27.447099999999995,1455.835573,5788163.0,11.964740712413507,16.59066755032355,4.656057417137319,4.504640915767
Niger,-5.13643,348.7960168,15511953.0,,,4.239662038368942,4.239662038368942
Nigeria,2207.65356,1443.209591,158423182.0,11.58834758361229,0.6819278132741979,2.3469557712399496,4.126099662341202
Norway,1839.8785500000001,85443.05939,4889252.0,76.08552184508346,171.39055302490783,9.577093711672697,8.89571945550626
Oman,750.4498600000001,20790.83796,2782435.0,213.2747270824279,17.35909233275973,1.1734778856199748,1.4384567630180336
Pakistan,-343.56997,1016.614375,173593383.0,4.1083811616335355,9.980403537298976,4.3153702890541,4.5424950411095795
Panama,-111.10739999999998,7614.009247,3516820.0,50.495097820925636,45.02201832802047,3.9746831609708826,3.861120784943143
Papua New Guinea,11.119219999999997,1382.2805880000003,6858266.0,,,,
Paraguay,-31.28888,2840.3495959999996,6454548.0,15.30671883485053,46.006060786518766,6.5866178096088905,4.958890419877958
Peru,-37.95852000000001,5283.224595,29076512.0,13.733477512380121,33.67521577516724,6.1702224308405125,5.337431673303756
Philippines,-292.01598,2140.121591,93260798.0,9.421945747476478,13.21125976287372,4.731765667822479,3.823266659600563
Poland,-516.70159,12303.20792,38183683.0,32.84633202342185,70.47057980620478,6.5866178096088905,6.54876368426631
Portugal,-245.40895000000003,21358.42659,10637346.0,41.21291671299696,114.77922670575425,8.138636948654664,7.154429689747587
Puerto Rico,-176.0,25862.72675,3721978.0,,,,
Qatar,1316.1619999999998,72397.6124,1758793.0,201.39453874649467,294.9356273135836,1.0220613842496555,1.0220613842496555
Romania,-89.02732,7670.303763,21438001.0,19.056547966946887,40.36797091040956,6.435201308238571,6.54876368426631
Russia,7028.3742,10446.84356,142389000.0,74.42367562253415,30.113900105877132,3.7475584089154035,3.785412534257983
Rwanda,-5.30188,529.4148635,10624005.0,,,6.54876368426631,6.54876368426631
Samoa,-1.14852,3388.065072,183081.0,,,3.8989749102857227,4.012537286313463
Sao Tome and Principe,-0.88904,1215.48708,165397.0,,,,
Saudi Arabia,8118.2353,16423.44024,27448086.0,205.35370244260244,156.54089638330376,0.6056660054812774,0.2536226397952849
Senegal,-38.70136999999999,1033.905319,12433728.0,2.9126683689531863,11.9067636646,6.510909558923731,5.7916811774147146
Serbia,-59.376850000000005,5269.644097,7291436.0,20.21587125004552,50.52486776116724,6.73803431097921,6.81374256166437
Seychelles,-6.31621,11249.41621,86525.0,,,,
Sierra Leone,-9.37277,431.8183924,5867536.0,,,3.9746831609708826,3.9746831609708826
Singapore,-1340.99353,41986.82583,5076700.0,55.567264311396045,93.34012156586347,6.359493057553411,4.769619793165059
Slovakia,-65.96605,16036.06927,5430099.0,32.703302451494686,71.31762694000682,7.495116817830807,7.0030131883772695
Slovenia,-54.11354000000001,22897.93876,2048583.0,87.15058400444612,151.09156804217747,7.040867313719849,6.70018018563663
Solomon Islands,-1.4627399999999997,1261.038751,538148.0,,,,
Somalia,-5.39948,,9330872.0,,,,
South Africa,-383.64346,7271.729185,49991300.0,42.01073475918816,28.66521711171331,5.223869297276017,5.375285798646336
Spain,-1377.35151,29956.15635,46070971.0,36.621530153573595,146.3409639746348,6.624471934951471,6.624471934951471
Sri Lanka,-80.6514,2400.015575,20653000.0,9.490510404372534,20.010156445595904,4.883182169192798,3.5204336568599244
Suriname,2.18218,8323.703586,524636.0,,,5.943097678785034,5.753827052072134
Swaziland,-4.76122,3686.956261,1055506.0,,,4.921036294535378,5.072452795905698
Sweden,-323.73595,49359.86692,9378126.0,104.87511239154021,108.64476552174743,7.949366321941765,8.176491073997244
Switzerland,-241.11254000000002,70572.65694,7824909.0,128.45314146480274,84.00669066490785,7.116575564405008,7.7979498205714455
Syria,83.78573999999999,2892.755148,20446609.0,27.99761551912443,28.305385345696248,2.9904759020638068,1.362748512332874
Tajikistan,-11.242,820.1831211,6878637.0,3.9717656035424884,,5.488848174674075,3.444725406174765
Tanzania,-30.74937,526.5582778,44841226.0,1.7357059686776934,4.569903336385666,4.958890419877958,4.807473918507639
Thailand,-653.5115999999999,4613.68089,69122234.0,23.039205015358114,46.610855845556316,5.905243553442454,3.6718501582302436
Togo,-9.77312,529.6479953,6027798.0,9.960718455860395,5.02588458730512,4.39107853973926,4.61820329179474
Tonga,-1.20222,3544.011613,104058.0,,,,
Trinidad and Tobago,110.02844000000002,15613.73133,1341465.0,112.48686526116843,111.00018777954949,,
Tunisia,-3.283650000000009,4206.779922,10549100.0,14.424728736640365,38.037943993686014,3.5204336568599244,2.6119346486380084
Turkey,-532.47188,10049.77356,72752325.0,8.855408997617602,35.41867923128328,9.614947837015277,8.820011204821101
Turkmenistan,97.18112,4392.719583,5041995.0,49.96412973772382,,0.8327907575367564,0.7570825068515967
Turks and Caicos Islands,-1.06279,,38354.0,,,,
U.A.E.,2173.06185,39624.70188000001,7511690.0,168.48809642925644,161.47416771444367,1.779143891101252,2.4226640219251094
Uganda,-22.98877,514.5119517,33424683.0,,,5.375285798646336,5.110306921248277
Ukraine,-200.86548000000002,2973.981709,45870700.0,30.24373157699772,15.364663060410923,5.110306921248277,4.731765667822479
United Kingdom,-226.05188999999996,36237.69743,62262786.0,76.47204170037178,102.10103589105803,8.214345199339823,8.592886452765622
United States,-9440.68493,46611.9751,309349689.0,351.948066314871,113.27140615204779,3.6718501582302436,3.9746831609708826
Uruguay,-50.44367,11741.69832,3356584.0,36.343040235280725,49.55537885738566,7.457262692488227,7.116575564405008
Uzbekistan,4.3121599999999995,1377.082143,28562400.0,14.570154244663124,2.7216955506946756,3.861120784943143,3.2933089048044453
Vanuatu,-0.8376499999999999,2833.3271780000005,239651.0,,,,
Venezuela,2108.3680600000002,13657.74819,28834000.0,131.30644326645674,29.289902592846417,0.08706448828793362,0.041639537876837815
Vietnam,9.058400000000006,1224.246918,86932500.0,16.002223307743552,17.158150143141977,4.3532244143966805,4.012537286313463
"Virgin Islands,  U.S.",-91.58577999999999,,109750.0,,,,
Yemen,130.45445999999998,1290.6230769999997,24052514.0,21.81911430817147,3.089428922795222,2.19553926986963,1.779143891101252
Zambia,-13.51791,1252.489909,12926409.0,3.6126591808960544,1.4371456996589078,5.602410550701815,5.602410550701815
Zimbabwe,-13.29304,591.2851815,12571454.0,3.5630437296509863,5.183399381546075,5.753827052072134,5.299577547961176
